stt,term,reading,romaji,han_viet,meaning,type,exam_ja,exam_vi,kanji_breakdown,pitch_accent,synonyms_antonyms,card_type
261,荒い・粗い,あらい,arai,Hoang Thô,thô bạo -  cục súc -  cộc cằn,Danh từ,荒い・粗いについて詳しく調査する。,Nghiên cứu kỹ lưỡng về thô bạo.,荒 (Hoang: hoang vu/hung dữ/bão táp) + 粗 (Thô: thô ráp/sơ sài),[0],連: 荒い・粗いに関する / 類: thô bạo,vocab
262,強引な,ごういんな,gouinna,Cường Dẫn,cưỡng bức -  miễn cưỡng,Tính từ -na,強引な態度で対応する。,Ứng phó bằng một thái độ cưỡng bức.,強 (Cường: mạnh mẽ/cường tráng) + 引 (Dẫn: kéo/dẫn dắt),[1],連: 強引なに関する / 類: cưỡng bức,vocab
263,勝手な,かってな,kattena,Thắng Thủ,tự ý -  tự tiện -  ích ki,Tính từ -na,勝手な態度で対応する。,Ứng phó bằng một thái độ tự ý.,勝 (Thắng: thắng lợi/vượt trội) + 手 (Thủ: bàn tay/người làm),[1],連: 勝手なに関する / 類: tự ý,vocab
264,強気な,つよきな,tsuyokina,Cường Khí,táo bạo -  mạnh mẽ,Tính từ -na,強気な態度で対応する。,Ứng phó bằng một thái độ táo bạo.,強 (Cường: mạnh mẽ/cường tráng) + 気 (Khí: không khí/tâm trạng/khí chất),[1],連: 強気なに関する / 類: táo bạo,vocab
265,頑固な,がんこな,gankona,Ngoan Cố,bảo thủ -  cố chấp,Tính từ -na,頑固な態度で対応する。,Ứng phó bằng một thái độ bảo thủ.,頑 (Ngoan: ngoan cố/bướng bỉnh/chăm chỉ) + 固 (Cố: cố định/kiên cố),[1],連: 頑固なに関する / 類: bảo thủ,vocab
266,過剰な,かじょうな,kajouna,Quá Thặng,quá độ -  thái quá,Tính từ -na,過剰な態度で対応する。,Ứng phó bằng một thái độ quá độ.,過 (Quá: vượt qua/quá độ/lỗi lầm) + 剰 (Thặng: dư thừa/thặng dư),[1],連: 過剰なに関する / 類: quá độ,vocab
267,重大な,じゅうたいな,juutaina,Trọng Đại,trọng đại -  quan trọng,Tính từ -na,重大な態度で対応する。,Ứng phó bằng một thái độ trọng đại.,重 (Trọng: nặng nề/quan trọng/chồng chất) + 大 (Đại: to lớn/vĩ đại),[1],連: 重大なに関する / 類: trọng đại,vocab
268,深刻な,しんこくな,shinkokuna,Thâm Khắc,nghiêm trọng,Tính từ -na,深刻な態度で対応する。,Ứng phó bằng một thái độ nghiêm trọng.,深 (Thâm: sâu sắc/sâu thẳm) + 刻 (Khắc: khắc/thời khắc),[1],連: 深刻なに関する / 類: nghiêm trọng,vocab
269,気楽な,きらくな,kirakuna,Khí Lạc,thoải mái -  thong thả,Tính từ -na,気楽な態度で対応する。,Ứng phó bằng một thái độ thoải mái.,気 (Khí: không khí/tâm trạng/khí chất) + 楽 (Lạc: vui vẻ/âm nhạc),[1],連: 気楽なに関する / 類: thoải mái,vocab
270,安易な,あんいな,an'ina,An Dịch,dễ dàng -  đơn giản -  bất cần,Tính từ -na,安易な態度で対応する。,Ứng phó bằng một thái độ dễ dàng.,安 (An: an toàn/yên ổn/rẻ) + 易 (Dịch: dễ dàng/thay đổi),[1],連: 安易なに関する / 類: dễ dàng,vocab
