stt,term,reading,romaji,han_viet,meaning,type,exam_ja,exam_vi,kanji_breakdown,pitch_accent,synonyms_antonyms,card_type
521,次第に,しだいに,shidaini,Thứ Đệ,dần dần -  từng chút một (=だんだん),Phó từ,次第に物事が進んでいる。,Mọi việc đang tiến triển (dần dần).,次 (Thứ: tiếp theo/kế tiếp) + 第 (Đệ: thứ tự/giai đoạn),[1],連: 次第にに関する / 類: dần dần,vocab
522,徐々に,じょじょに,jojoni,Từ,Chầm chậm -  dần dần,Danh từ,徐々にについて詳しく調査する。,Nghiên cứu kỹ lưỡng về Chầm chậm.,徐 (Từ: từ từ/chậm rãi),[1],連: 徐々にに関する / 類: Chầm chậm,vocab
523,さらに,さらに,sarani,-,hơn nữa -  ngoài ra,Liên từ,努力を重ねた、さらに成功を収めた。,"Đã nỗ lực không ngừng, hơn nữa đã gặt hái thành công.",-,[0],連: さらにに関する / 類: hơn nữa,vocab
524,一層,いっそう,issou,Nhất Tầng,hơn -  hơn nữa,Danh từ,一層について詳しく調査する。,Nghiên cứu kỹ lưỡng về hơn.,一 (Nhất: một/nhất thể) + 層 (Tầng: tầng lớp/giai cấp),[1],連: 一層に関する / 類: hơn,vocab
525,一段と,いちだんと,ichidanto,Nhất Đoạn,hơn hẳn -  hơn 1 bậc,Danh từ,一段とについて詳しく調査する。,Nghiên cứu kỹ lưỡng về hơn hẳn.,一 (Nhất: một/nhất thể) + 段 (Đoạn: bậc thang/giai đoạn),[1],連: 一段とに関する / 類: hơn hẳn,vocab
526,より,より,yori,-,hơn,Danh từ,よりについて詳しく調査する。,Nghiên cứu kỹ lưỡng về hơn.,-,[0],連: よりに関する / 類: hơn,vocab
527,結局,けっきょく,kekkyoku,Kết Cục,kết cục -  rốt cuộc,Danh từ,結局について詳しく調査する。,Nghiên cứu kỹ lưỡng về kết cục.,結 (Kết: kết nối/kết quả) + 局 (Cục: cục bộ/cơ quan),[1],連: 結局に関する / 類: kết cục,vocab
528,ようやく,ようやく,youyaku,-,cuối cùng,Danh từ,ようやくについて詳しく調査する。,Nghiên cứu kỹ lưỡng về cuối cùng.,-,[1],連: ようやくに関する / 類: cuối cùng,vocab
529,再び,ふたたび,futatabi,Tái,lần nữa,Danh từ,再びについて詳しく調査する。,Nghiên cứu kỹ lưỡng về lần nữa.,再 (Tái: lại/tái diễn),[1],連: 再びに関する / 類: lần nữa,vocab
530,たちまち,たちまち,tachimachi,-,ngay lập tức -  đột nhiên,Phó từ,たちまち物事が進んでいる。,Mọi việc đang tiến triển (ngay lập tức).,-,[1],連: たちまちに関する / 類: ngay lập tức,vocab
531,今度,こんど,kondo,Kim Độ,lần này -  sắp tới -  lần tới,Danh từ,今度について詳しく調査する。,Nghiên cứu kỹ lưỡng về lần này.,今 (Kim: bây giờ/hiện tại) + 度 (Độ: mức độ/lần),[0],連: 今度に関する / 類: lần này,vocab
532,今後,こんご,kongo,Kim Hậu,từ bây giờ trở đi -  sắp tới,Danh từ,今後について詳しく調査する。,Nghiên cứu kỹ lưỡng về từ bây giờ trở đi.,今 (Kim: bây giờ/hiện tại) + 後 (Hậu: phía sau/sau này),[0],連: 今後に関する / 類: từ bây giờ trở đi,vocab
533,後(に),のち(に),nochi(ni),Hậu,sau đó,Danh từ,後(に)について詳しく調査する。,Nghiên cứu kỹ lưỡng về sau đó.,後 (Hậu: phía sau/sau này),[1],連: 後(に)に関する / 類: sau đó,vocab
534,まもなく,まもなく,mamonaku,-,chẳng mấy chốc -  sắp,Danh từ,まもなくについて詳しく調査する。,Nghiên cứu kỹ lưỡng về chẳng mấy chốc.,-,[1],連: まもなくに関する / 類: chẳng mấy chốc,vocab
535,そのうち,に,ni,-,sẽ sớm thôi -  1 lúc nữa,Danh từ,そのうちについて詳しく調査する。,Nghiên cứu kỹ lưỡng về sẽ sớm thôi.,-,[0],連: そのうちに関する / 類: sẽ sớm thôi,vocab
536,やがて,やがて,yagate,-,chẳng mấy chốc -  sắp sủa -  hầu như -  sau cùng,Danh từ,やがてについて詳しく調査する。,Nghiên cứu kỹ lưỡng về chẳng mấy chốc.,-,[0],連: やがてに関する / 類: chẳng mấy chốc,vocab
537,いずれ,いずれ,izure,-,1 ngày nào đó -  sớm muộn gì thì -  đằng nào,Danh từ,いずれについて詳しく調査する。,Nghiên cứu kỹ lưỡng về 1 ngày nào đó.,-,[0],連: いずれに関する / 類: 1 ngày nào đó,vocab
538,先ほど,さきほど,sakihodo,Tiên,mới lúc trước -  cách đây không lâu -  lúc nãy,Danh từ,先ほどについて詳しく調査する。,Nghiên cứu kỹ lưỡng về mới lúc trước.,先 (Tiên: trước/đầu tiên),[1],連: 先ほどに関する / 類: mới lúc trước,vocab
539,とっくに,とっくに,tokkuni,-,thời gian trức đây -  lâu rồi,Danh từ,とっくにについて詳しく調査する。,Nghiên cứu kỹ lưỡng về thời gian trức đây.,-,[1],連: とっくにに関する / 類: thời gian trức đây,vocab
540,すでに,すでに,sudeni,-,đã...,Danh từ,すでにについて詳しく調査する。,Nghiên cứu kỹ lưỡng về đã....,-,[0],連: すでにに関する / 類: đã...,vocab
541,事前に,じぜんに,jizenni,Sự Tiền,trước,Danh từ,事前にについて詳しく調査する。,Nghiên cứu kỹ lưỡng về trước.,事 (Sự: sự việc/công việc) + 前 (Tiền: phía trước/trước đây),[1],連: 事前にに関する / 類: trước,vocab
542,当日,とうじつ,toujitsu,Đương Nhật,hôm ấy,Danh từ,当日について詳しく調査する。,Nghiên cứu kỹ lưỡng về hôm ấy.,当 (Đương: chính xác/đảm đương) + 日 (Nhật: mặt trời/ngày),[1],連: 当日に関する / 類: hôm ấy,vocab
543,当時,とうじ,touji,Đương Thời,lúc đó -  khi ấy -  hồi đó,Danh từ,当時について詳しく調査する。,Nghiên cứu kỹ lưỡng về lúc đó.,当 (Đương: chính xác/đảm đương) + 時 (Thời: thời gian/giờ),[0],連: 当時に関する / 類: lúc đó,vocab
544,一時,いちじ,ichiji,Nhất Thời,tạm thời -  nhất thời -  có lúc,Phó từ,一時物事が進んでいる。,Mọi việc đang tiến triển (tạm thời).,一 (Nhất: một/nhất thể) + 時 (Thời: thời gian/giờ),[0],連: 一時に関する / 類: tạm thời,vocab
545,至急,しきゅう,shikyuu,Chí Cấp,khẩn cấp -  ngay lập tức,Danh từ,至急について詳しく調査する。,Nghiên cứu kỹ lưỡng về khẩn cấp.,至 (Chí: đến nơi/tột cùng) + 急 (Cấp: khẩn cấp/gấp gáp),[1],連: 至急に関する / 類: khẩn cấp,vocab
546,直ちに,ただちに,tadachini,Trực,ngay lập tức,Phó từ,直ちに物事が進んでいる。,Mọi việc đang tiến triển (ngay lập tức).,直 (Trực: thẳng thắn/trực tiếp/sửa),[1],連: 直ちにに関する / 類: ngay lập tức,vocab
547,早速,さっそく,sassoku,Tảo Tốc,nhanh chóng -  luôn và ngay,Danh từ,早速について詳しく調査する。,Nghiên cứu kỹ lưỡng về nhanh chóng.,早 (Tảo: sớm/nhanh chóng) + 速 (Tốc: nhanh chóng/tốc độ),[1],連: 早速に関する / 類: nhanh chóng,vocab
548,いきなり,いきなり,ikinari,-,đột ngột -  đột nhiên,Phó từ,いきなり物事が進んでいる。,Mọi việc đang tiến triển (đột ngột).,-,[1],連: いきなりに関する / 類: đột ngột,vocab
549,常に,つねに,tsuneni,Thường,luôn luôn -  lúc nào cũng,Phó từ,常に物事が進んでいる。,Mọi việc đang tiến triển (luôn luôn).,常 (Thường: thường ngày/bình thường),[0],連: 常にに関する / 類: luôn luôn,vocab
