stt,term,reading,romaji,han_viet,meaning,type,exam_ja,exam_vi,kanji_breakdown,pitch_accent,synonyms_antonyms,card_type
351,体験,たいけん,taiken,Thể Nghiệm,trải nghiệm,Danh từ,体験について詳しく調査する。,Nghiên cứu kỹ lưỡng về trải nghiệm.,体 (Thể: cơ thể/thân thể) + 験 (Nghiệm: thử nghiệm/kinh nghiệm),[1],連: 体験に関する / 類: trải nghiệm,vocab
352,空想,くうそう,kuusou,Không Tưởng,mơ mộng -  ảo tưởng -  viễn tưởng,Danh từ,空想について詳しく調査する。,Nghiên cứu kỹ lưỡng về mơ mộng.,空 (Không: bầu trời/trống rỗng) + 想 (Tưởng: tưởng tượng/suy tưởng),[1],連: 空想に関する / 類: mơ mộng,vocab
353,実物,じつぶつ,jitsubutsu,Thực Vật,hiện vật -  vật thật,Danh từ,実物について詳しく調査する。,Nghiên cứu kỹ lưỡng về hiện vật.,実 (Thực: sự thật/thực tế/quả) + 物 (Vật: đồ vật/sự vật),[1],連: 実物に関する / 類: hiện vật,vocab
354,実現,じつげん,jitsugen,Thực Hiện,thực hiện,Danh từ,実現について詳しく調査する。,Nghiên cứu kỹ lưỡng về thực hiện.,実 (Thực: sự thật/thực tế/quả) + 現 (Hiện: hiện tại/xuất hiện),[1],連: 実現に関する / 類: thực hiện,vocab
355,実施,じっし,jisshi,Thực Thi,thực thi,Danh từ,実施について詳しく調査する。,Nghiên cứu kỹ lưỡng về thực thi.,実 (Thực: sự thật/thực tế/quả) + 施 (Thi: thực thi/thi hành),[0],連: 実施に関する / 類: thực thi,vocab
356,許可,きょか,kyoka,Hứa Khả,cho phép -  chấp nhận,Danh từ,許可について詳しく調査する。,Nghiên cứu kỹ lưỡng về cho phép.,許 (Hứa: cho phép/tha thứ) + 可 (Khả: khả năng/có thể),[0],連: 許可に関する / 類: cho phép,vocab
357,全体,ぜんたい,zentai,Toàn Thể,toàn thể -  toàn bộ,Tính từ -i,この問題は非常に全体。,Vấn đề này rất toàn thể.,全 (Toàn: toàn bộ/toàn vẹn) + 体 (Thể: cơ thể/thân thể),[1],連: 全体に関する / 類: toàn thể,vocab
358,部分,ぶぶん,bubun,Bộ Phân,bộ phận -  1 phần,Danh từ,部分について詳しく調査する。,Nghiên cứu kỹ lưỡng về bộ phận.,部 (Bộ: bộ phận/phần/câu lạc bộ) + 分 (Phân: chia/phần/hiểu),[0],連: 部分に関する / 類: bộ phận,vocab
359,統一,とういつ,touitsu,Thống Nhất,thống nhất,Danh từ,統一について詳しく調査する。,Nghiên cứu kỹ lưỡng về thống nhất.,統 (Thống: thống nhất/hệ thống) + 一 (Nhất: một/nhất thể),[1],連: 統一に関する / 類: thống nhất,vocab
360,拡大,かくだい,kakudai,Khuếch Đại,mở rộng -  phóng to,Tính từ -i,この問題は非常に拡大。,Vấn đề này rất mở rộng.,拡 (Khuếch: mở rộng/khuếch trương) + 大 (Đại: to lớn/vĩ đại),[1],連: 拡大に関する / 類: mở rộng,vocab
361,縮小,しゅくしょう,shukushou,Súc Tiểu,thu nhỏ -  làm ngắn,Động từ nhóm 1,状況に合わせて適切に縮小。,Thu nhỏ một cách phù hợp theo tình huống.,縮 (Súc: co lại/rút ngắn) + 小 (Tiểu: nhỏ bé/ít),[1],連: 縮小に関する / 類: thu nhỏ,vocab
362,集合,しゅうごう,shuugou,Tập Hợp,tập hợp -  tập kết,Danh từ,集合について詳しく調査する。,Nghiên cứu kỹ lưỡng về tập hợp.,集 (Tập: tập hợp/thu thập) + 合 (Hợp: thích hợp/gặp gỡ),[1],連: 集合に関する / 類: tập hợp,vocab
363,方向,ほうこう,houkou,Phương Hướng,phương hướng,Danh từ,方向について詳しく調査する。,Nghiên cứu kỹ lưỡng về phương hướng.,方 (Phương: hướng/cách thức/vị) + 向 (Hướng: hướng về/phía),[1],連: 方向に関する / 類: phương hướng,vocab
364,間隔,かんかく,kankaku,Gian Cách,khoảng cách -  giãn cách,Danh từ,間隔について詳しく調査する。,Nghiên cứu kỹ lưỡng về khoảng cách.,間 (Gian: khoảng cách/thế gian/thời gian) + 隔 (Cách: ngăn cách/khoảng cách),[1],連: 間隔に関する / 類: khoảng cách,vocab
365,脇,わき,waki,Hiệp,phía bên -  nách,Danh từ,脇について詳しく調査する。,Nghiên cứu kỹ lưỡng về phía bên.,脇 (Hiệp: nách/bên hông/bên lề),[0],連: 脇に関する / 類: phía bên,vocab
366,通過,つうか,tsuuka,Thông Quá,thông qua,Danh từ,通過について詳しく調査する。,Nghiên cứu kỹ lưỡng về thông qua.,通 (Thông: thông suốt/đi lại/hiểu biết) + 過 (Quá: vượt qua/quá độ/lỗi lầm),[0],連: 通過に関する / 類: thông qua,vocab
367,移動,いどう,idou,Di Động,di chuyển -  đi lại,Động từ nhóm 1,状況に合わせて適切に移動。,Di chuyển một cách phù hợp theo tình huống.,移 (Di: di chuyển/thay đổi) + 動 (Động: hoạt động/chuyển động),[0],連: 移動に関する / 類: di chuyển,vocab
368,停止,ていし,teishi,Đình Chỉ,dừng lại -  tạm dừng,Danh từ,停止について詳しく調査する。,Nghiên cứu kỹ lưỡng về dừng lại.,停 (Đình: dừng lại/đình chỉ) + 止 (Chỉ: dừng lại/đình chỉ),[0],連: 停止に関する / 類: dừng lại,vocab
369,低下,ていか,teika,Đê Hạ,giảm sút -  giảm đi,Danh từ,低下について詳しく調査する。,Nghiên cứu kỹ lưỡng về giảm sút.,低 (Đê: thấp/kém) + 下 (Hạ: dưới/xuống),[0],連: 低下に関する / 類: giảm sút,vocab
370,超過,ちょうか,chouka,Siêu Quá,vượt quá đếm được (tiền -  thời gian -  bệnh),Danh từ,超過について詳しく調査する。,Nghiên cứu kỹ lưỡng về vượt quá đếm được (tiền.,超 (Siêu: vượt qua/siêu phàm) + 過 (Quá: vượt qua/quá độ/lỗi lầm),[1],連: 超過に関する / 類: vượt quá đếm được (tiền,vocab
371,立ち上がる,たちあがる,tachiagaru,Lập Thượng,đứng lên -  nổi dậy,Động từ nhóm 1,状況に合わせて適切に立ち上がる。,Đứng lên một cách phù hợp theo tình huống.,立 (Lập: đứng/thành lập) + 上 (Thượng: trên/lên),[1],連: 立ち上がるに関する / 類: đứng lên,vocab
372,飛び上がる,とびあがる,tobiagaru,Phi Thượng,nhảy cẫng lên -  đứng phắt dậy,Động từ nhóm 1,状況に合わせて適切に飛び上がる。,Nhảy cẫng lên một cách phù hợp theo tình huống.,飛 (Phi: bay lượn/phi hành) + 上 (Thượng: trên/lên),[1],連: 飛び上がるに関する / 類: nhảy cẫng lên,vocab
373,浮かび上がる,うかびあがる,ukabiagaru,Phù Thượng,nổi lên -  in bóng -  hiện ra,Động từ nhóm 1,状況に合わせて適切に浮かび上がる。,Nổi lên một cách phù hợp theo tình huống.,浮 (Phù: nổi lên/lơ lửng) + 上 (Thượng: trên/lên),[1],連: 浮かび上がるに関する / 類: nổi lên,vocab
374,舞い上がる,まいあがる,maiagaru,Vũ Thượng,bay vút lên -  cuộn lên -  bay bông -  nhào lộn,Động từ nhóm 1,状況に合わせて適切に舞い上がる。,Bay vút lên một cách phù hợp theo tình huống.,舞 (Vũ: nhảy múa/vũ đài) + 上 (Thượng: trên/lên),[1],連: 舞い上がるに関する / 類: bay vút lên,vocab
375,燃え上がる,もえあがる,moeagaru,Nhiên Thượng,bốc cháy lên,Động từ nhóm 1,状況に合わせて適切に燃え上がる。,Bốc cháy lên một cách phù hợp theo tình huống.,燃 (Nhiên: cháy/bốc cháy) + 上 (Thượng: trên/lên),[1],連: 燃え上がるに関する / 類: bốc cháy lên,vocab
376,盛り上がる,もりあがる,moriagaru,Thịnh Thượng,Hăng máu lên -  tăng lên -  phấn khích,Động từ nhóm 1,状況に合わせて適切に盛り上がる。,Hăng máu lên một cách phù hợp theo tình huống.,盛 (Thịnh: thịnh vượng/đầy đặn) + 上 (Thượng: trên/lên),[1],連: 盛り上がるに関する / 類: Hăng máu lên,vocab
377,沸き上がる,わきあがる,wakiagaru,Phí Thượng,sôi lên -  dâng trào cảm xúc,Động từ nhóm 1,状況に合わせて適切に沸き上がる。,Sôi lên một cách phù hợp theo tình huống.,沸 (Phí: sôi/nấu sôi) + 上 (Thượng: trên/lên),[1],連: 沸き上がるに関する / 類: sôi lên,vocab
378,晴れ上がる,はれあがる,hareagaru,Tình Thượng,sáng sủa lên -  trở nên sạch,Động từ nhóm 1,状況に合わせて適切に晴れ上がる。,Sáng sủa lên một cách phù hợp theo tình huống.,晴 (Tình: trời nắng/quang đãng) + 上 (Thượng: trên/lên),[1],連: 晴れ上がるに関する / 類: sáng sủa lên,vocab
379,震え上がる,ふるえあがる,furueagaru,Chấn Thượng,run bắn lên,Động từ nhóm 1,状況に合わせて適切に震え上がる。,Run bắn lên một cách phù hợp theo tình huống.,震 (Chấn: rung chấn/động đất) + 上 (Thượng: trên/lên),[1],連: 震え上がるに関する / 類: run bắn lên,vocab
