stt,term,reading,romaji,han_viet,meaning,type,exam_ja,exam_vi,kanji_breakdown,pitch_accent,synonyms_antonyms,card_type
441,分け合う,わけあう,wakeau,Phân Hợp,chia sẻ -  chia đều ra..,Động từ nhóm 1,状況に合わせて適切に分け合う。,Chia sẻ một cách phù hợp theo tình huống.,分 (Phân: chia/phần/hiểu) + 合 (Hợp: thích hợp/gặp gỡ),[1],連: 分け合うに関する / 類: chia sẻ,vocab
442,出し合う,だしあう,dashiau,Xuất Hợp,đóng góp -  phối hợp -  cùng góp phần,Động từ nhóm 1,状況に合わせて適切に出し合う。,Đóng góp một cách phù hợp theo tình huống.,出 (Xuất: ra ngoài/xuất hiện) + 合 (Hợp: thích hợp/gặp gỡ),[1],連: 出し合うに関する / 類: đóng góp,vocab
443,申し合わせる,もうしあわせる,moushiawaseru,Thân Hợp,thống nhất -  sắp xếp,Động từ nhóm 2,状況に合わせて適切に申し合わせる。,Thống nhất một cách phù hợp theo tình huống.,申 (Thân: báo cáo/trình bày) + 合 (Hợp: thích hợp/gặp gỡ),[1],連: 申し合わせるに関する / 類: thống nhất,vocab
444,誘い合わせる,さそいあわせる,sasoiawaseru,Dụ Hợp,hẹn nhau -  rủ nhau,Động từ nhóm 2,状況に合わせて適切に誘い合わせる。,Hẹn nhau một cách phù hợp theo tình huống.,誘 (Dụ: mời mọc/rủ rê) + 合 (Hợp: thích hợp/gặp gỡ),[1],連: 誘い合わせるに関する / 類: hẹn nhau,vocab
445,隣り合わせる,となりあわせる,tonariawaseru,Lân Hợp,cạnh nhau,Động từ nhóm 2,状況に合わせて適切に隣り合わせる。,Cạnh nhau một cách phù hợp theo tình huống.,隣 (Lân: hàng xóm/bên cạnh) + 合 (Hợp: thích hợp/gặp gỡ),[1],連: 隣り合わせるに関する / 類: cạnh nhau,vocab
446,組み合わせる,くみあわせる,kumiawaseru,Tổ Hợp,ghép lại; kết hợp; liên kết lại; liên kết; phối hợp,Động từ nhóm 2,状況に合わせて適切に組み合わせる。,Ghép lại một cách phù hợp theo tình huống.,組 (Tổ: tổ chức/kết hợp/nhóm) + 合 (Hợp: thích hợp/gặp gỡ),[1],連: 組み合わせるに関する / 類: ghép lại; kết hợp; liên kết lại; liên kết; phối hợp,vocab
447,詰め合わせる,つめあわせる,tsumeawaseru,Cật Hợp,đóng gói -  đóng hộp,Động từ nhóm 2,状況に合わせて適切に詰め合わせる。,Đóng gói một cách phù hợp theo tình huống.,詰 (Cật: nhồi nhét/chất vấn) + 合 (Hợp: thích hợp/gặp gỡ),[1],連: 詰め合わせるに関する / 類: đóng gói,vocab
448,重ね合わせる,かさねあわせる,kasaneawaseru,Trọng Hợp,xếp chồng lên -  tựa như,Động từ nhóm 2,状況に合わせて適切に重ね合わせる。,Xếp chồng lên một cách phù hợp theo tình huống.,重 (Trọng: nặng nề/quan trọng/chồng chất) + 合 (Hợp: thích hợp/gặp gỡ),[1],連: 重ね合わせるに関する / 類: xếp chồng lên,vocab
449,居合わせる,いあわせる,iawaseru,Cư Hợp,tình cờ gặp,Động từ nhóm 2,状況に合わせて適切に居合わせる。,Tình cờ gặp một cách phù hợp theo tình huống.,居 (Cư: ở/sinh sống/trú ngụ) + 合 (Hợp: thích hợp/gặp gỡ),[1],連: 居合わせるに関する / 類: tình cờ gặp,vocab
450,乗り合わせる,のりあわせる,noriawaseru,Thừa Hợp,đi cùng chuyến -  đi chung xe,Động từ nhóm 2,状況に合わせて適切に乗り合わせる。,Đi cùng chuyến một cách phù hợp theo tình huống.,乗 (Thừa: lên xe/cưỡi) + 合 (Hợp: thích hợp/gặp gỡ),[1],連: 乗り合わせるに関する / 類: đi cùng chuyến,vocab
451,持ち合わせる,もちあわせる,mochiawaseru,Trì Hợp,có trong tay -  có mang theo,Động từ nhóm 2,状況に合わせて適切に持ち合わせる。,Có trong tay một cách phù hợp theo tình huống.,持 (Trì: cầm/nắm giữ/duy trì) + 合 (Hợp: thích hợp/gặp gỡ),[1],連: 持ち合わせるに関する / 類: có trong tay,vocab
452,問い合わせる,といあわせる,toiawaseru,Vấn Hợp,hỏi; hỏi thăm,Động từ nhóm 2,状況に合わせて適切に問い合わせる。,Hỏi một cách phù hợp theo tình huống.,問 (Vấn: hỏi/vấn đề) + 合 (Hợp: thích hợp/gặp gỡ),[1],連: 問い合わせるに関する / 類: hỏi; hỏi thăm,vocab
453,照らし合わせる,てらしあわせる,terashiawaseru,Chiếu Hợp,so sánh -  đối chiếu,Động từ nhóm 2,状況に合わせて適切に照らし合わせる。,So sánh một cách phù hợp theo tình huống.,照 (Chiếu: chiếu sáng/đối chiếu) + 合 (Hợp: thích hợp/gặp gỡ),[1],連: 照らし合わせるに関する / 類: so sánh,vocab
454,聞き直す,ききなおす,kikinaosu,Văn Trực,nghe lại -  hỏi lại,Động từ nhóm 1,状況に合わせて適切に聞き直す。,Nghe lại một cách phù hợp theo tình huống.,聞 (Văn: nghe thấy/hỏi) + 直 (Trực: thẳng thắn/trực tiếp/sửa),[1],連: 聞き直すに関する / 類: nghe lại,vocab
455,やり直す,やりなおす,yarinaosu,Trực,làm lại -  bắt đầu lại,Động từ nhóm 1,状況に合わせて適切にやり直す。,Làm lại một cách phù hợp theo tình huống.,直 (Trực: thẳng thắn/trực tiếp/sửa),[1],連: やり直すに関する / 類: làm lại,vocab
456,かけ直す,かけなおす,kakenaosu,Trực,gọi lại,Động từ nhóm 1,状況に合わせて適切にかけ直す。,Gọi lại một cách phù hợp theo tình huống.,直 (Trực: thẳng thắn/trực tiếp/sửa),[1],連: かけ直すに関する / 類: gọi lại,vocab
457,出直す,でなおす,denaosu,Xuất Trực,làm lại từ đầu -  trở lại,Động từ nhóm 1,状況に合わせて適切に出直す。,Làm lại từ đầu một cách phù hợp theo tình huống.,出 (Xuất: ra ngoài/xuất hiện) + 直 (Trực: thẳng thắn/trực tiếp/sửa),[1],連: 出直すに関する / 類: làm lại từ đầu,vocab
458,持ち直す,もちなおす,mochinaosu,Trì Trực,chuyển biến tốt,Động từ nhóm 1,状況に合わせて適切に持ち直す。,Chuyển biến tốt một cách phù hợp theo tình huống.,持 (Trì: cầm/nắm giữ/duy trì) + 直 (Trực: thẳng thắn/trực tiếp/sửa),[1],連: 持ち直すに関する / 類: chuyển biến tốt,vocab
459,考え直す,かんがえなおす,kangaenaosu,Khảo Trực,xem lại -  suy nghĩ lại,Động từ nhóm 1,状況に合わせて適切に考え直す。,Xem lại một cách phù hợp theo tình huống.,考 (Khảo: suy nghĩ/khảo sát) + 直 (Trực: thẳng thắn/trực tiếp/sửa),[1],連: 考え直すに関する / 類: xem lại,vocab
460,思い直す,おもいなおす,omoinaosu,Tư Trực,nghĩ lại; thay đổi ý định; đổi ý,Động từ nhóm 1,状況に合わせて適切に思い直す。,Nghĩ lại một cách phù hợp theo tình huống.,思 (Tư: suy nghĩ/tư tưởng) + 直 (Trực: thẳng thắn/trực tiếp/sửa),[1],連: 思い直すに関する / 類: nghĩ lại; thay đổi ý định; đổi ý,vocab
