stt,term,reading,romaji,han_viet,meaning,type,exam_ja,exam_vi,kanji_breakdown,pitch_accent,synonyms_antonyms,card_type
891,人物,じんぶつ,jinbutsu,Nhân Vật,nhân vật,Danh từ,人物について詳しく調査する。,Nghiên cứu kỹ lưỡng về nhân vật.,人 (Nhân: người/nhân loại) + 物 (Vật: đồ vật/sự vật),[1],連: 人物に関する / 類: nhân vật,vocab
892,者,もの,mono,Giả,người -  kẻ,Danh từ,者について詳しく調査する。,Nghiên cứu kỹ lưỡng về người.,者 (Giả: người/kẻ),[0],連: 者に関する / 類: người,vocab
893,各自,かくじ,kakuji,Các Tự,mỗi người,Danh từ,各自について詳しく調査する。,Nghiên cứu kỹ lưỡng về mỗi người.,各 (Các: mỗi/từng cái) + 自 (Tự: bản thân/tự mình),[0],連: 各自に関する / 類: mỗi người,vocab
894,気分,きぶん,kibun,Khí Phân,tâm trạng -  tinh thần -  cảm xúc,Danh từ,気分について詳しく調査する。,Nghiên cứu kỹ lưỡng về tâm trạng.,気 (Khí: không khí/tâm trạng/khí chất) + 分 (Phân: chia/phần/hiểu),[0],連: 気分に関する / 類: tâm trạng,vocab
895,気配,けはい,kehai,Khí Phối,cảm giác -  linh cảm,Danh từ,気配について詳しく調査する。,Nghiên cứu kỹ lưỡng về cảm giác.,気 (Khí: không khí/tâm trạng/khí chất) + 配 (Phối: phân phát/phối hợp/lo lắng),[0],連: 気配に関する / 類: cảm giác,vocab
896,生きがい,いきがい,ikigai,Sinh,mục đích sống -  lẽ sống,Danh từ,生きがいについて詳しく調査する。,Nghiên cứu kỹ lưỡng về mục đích sống.,生 (Sinh: sinh sống/sinh đẻ/sống),[1],連: 生きがいに関する / 類: mục đích sống,vocab
897,行儀,ぎょうぎ,gyougi,Hành Nghi,tác phong -  cách cư xử,Danh từ,行儀について詳しく調査する。,Nghiên cứu kỹ lưỡng về tác phong.,行 (Hành: đi/tiến hành/hàng lối) + 儀 (Nghi: nghi thức/lễ nghi),[1],連: 行儀に関する / 類: tác phong,vocab
898,品,ひん,hin,Phẩm,phẩm giá -  mặt hàng -  hàng hóa,Danh từ,品について詳しく調査する。,Nghiên cứu kỹ lưỡng về phẩm giá.,品 (Phẩm: sản phẩm/phẩm chất),[0],連: 品に関する / 類: phẩm giá,vocab
899,姿,すがた,sugata,Tư,bộ dạng -  bóng dáng -  tư thế,Danh từ,姿について詳しく調査する。,Nghiên cứu kỹ lưỡng về bộ dạng.,姿 (Tư: dáng vẻ/tư thế),[0],連: 姿に関する / 類: bộ dạng,vocab
900,姿勢,しせい,shisei,Tư Thế,tư thế -  thái độ -  lập trường,Danh từ,姿勢について詳しく調査する。,Nghiên cứu kỹ lưỡng về tư thế.,姿 (Tư: dáng vẻ/tư thế) + 勢 (Thế: thế lực/khí thế),[0],連: 姿勢に関する / 類: tư thế,vocab
